Week,cruelty free: (Worldwide)
2019-11-10,18
2019-11-17,19
2019-11-24,18
2019-12-01,18
2019-12-08,18
2019-12-15,18
2019-12-22,18
2019-12-29,19
2020-01-05,18
2020-01-12,17
2020-01-19,18
2020-01-26,18
2020-02-02,17
2020-02-09,17
2020-02-16,19
2020-02-23,18
2020-03-01,18
2020-03-08,16
2020-03-15,13
2020-03-22,13
2020-03-29,14
2020-04-05,16
2020-04-12,16
2020-04-19,18
2020-04-26,18
2020-05-03,17
2020-05-10,18
2020-05-17,18
2020-05-24,19
2020-05-31,17
2020-06-07,17
2020-06-14,17
2020-06-21,18
2020-06-28,18
2020-07-05,19
2020-07-12,18
2020-07-19,18
2020-07-26,18
2020-08-02,17
2020-08-09,17
2020-08-16,16
2020-08-23,16
2020-08-30,17
2020-09-06,16
2020-09-13,16
2020-09-20,13
2020-09-27,15
2020-10-04,15
2020-10-11,15
2020-10-18,16
2020-10-25,14
2020-11-01,13
2020-11-08,16
2020-11-15,15
2020-11-22,16
2020-11-29,16
2020-12-06,17
2020-12-13,15
2020-12-20,14
2020-12-27,16
2021-01-03,15
2021-01-10,15
2021-01-17,16
2021-01-24,15
2021-01-31,15
2021-02-07,14
2021-02-14,14
2021-02-21,14
2021-02-28,14
2021-03-07,14
2021-03-14,15
2021-03-21,12
2021-03-28,15
2021-04-04,17
2021-04-11,91
2021-04-18,100
2021-04-25,53
2021-05-02,35
2021-05-09,30
2021-05-16,25
2021-05-23,21
2021-05-30,23
2021-06-06,21
2021-06-13,18
2021-06-20,19
2021-06-27,20
2021-07-04,18
2021-07-11,18
2021-07-18,19
2021-07-25,17
2021-08-01,16
2021-08-08,17
2021-08-15,16
2021-08-22,15
2021-08-29,15
2021-09-05,15
2021-09-12,15
2021-09-19,16
2021-09-26,14
2021-10-03,15
2021-10-10,15
2021-10-17,16
2021-10-24,14
2021-10-31,15
2021-11-07,16
2021-11-14,17
2021-11-21,16
2021-11-28,16
2021-12-05,15
2021-12-12,16
2021-12-19,15
2021-12-26,17
2022-01-02,17
2022-01-09,16
2022-01-16,14
2022-01-23,16
2022-01-30,15
2022-02-06,14
2022-02-13,15
2022-02-20,15
2022-02-27,15
2022-03-06,14
2022-03-13,14
2022-03-20,14
2022-03-27,14
2022-04-03,14
2022-04-10,15
2022-04-17,16
2022-04-24,15
2022-05-01,14
2022-05-08,14
2022-05-15,13
2022-05-22,13
2022-05-29,15
2022-06-05,13
2022-06-12,14
2022-06-19,14
2022-06-26,14
2022-07-03,13
2022-07-10,14
2022-07-17,14
2022-07-24,14
2022-07-31,15
2022-08-07,15
2022-08-14,13
2022-08-21,13
2022-08-28,12
2022-09-04,11
2022-09-11,12
2022-09-18,11
2022-09-25,12
2022-10-02,12
2022-10-09,13
2022-10-16,11
2022-10-23,11
2022-10-30,15
2022-11-06,14
2022-11-13,13
2022-11-20,13
2022-11-27,12
2022-12-04,13
2022-12-11,13
2022-12-18,13
2022-12-25,17
2023-01-01,16
2023-01-08,13
2023-01-15,14
2023-01-22,15
2023-01-29,13
2023-02-05,14
2023-02-12,13
2023-02-19,13
2023-02-26,15
2023-03-05,15
2023-03-12,13
2023-03-19,13
2023-03-26,13
2023-04-02,13
2023-04-09,13
2023-04-16,14
2023-04-23,13
2023-04-30,13
2023-05-07,13
2023-05-14,15
2023-05-21,14
2023-05-28,13
2023-06-04,15
2023-06-11,13
2023-06-18,13
2023-06-25,12
2023-07-02,12
2023-07-09,14
2023-07-16,13
2023-07-23,11
2023-07-30,12
2023-08-06,13
2023-08-13,12
2023-08-20,13
2023-08-27,14
2023-09-03,15
2023-09-10,12
2023-09-17,14
2023-09-24,13
2023-10-01,13
2023-10-08,13
2023-10-15,12
2023-10-22,13
2023-10-29,13
2023-11-05,12
2023-11-12,13
2023-11-19,15
2023-11-26,14
2023-12-03,15
2023-12-10,13
2023-12-17,14
2023-12-24,15
2023-12-31,14
2024-01-07,14
2024-01-14,14
2024-01-21,13
2024-01-28,15
2024-02-04,14
2024-02-11,12
2024-02-18,13
2024-02-25,14
2024-03-03,13
2024-03-10,12
2024-03-17,14
2024-03-24,14
2024-03-31,13
2024-04-07,12
2024-04-14,13
2024-04-21,12
2024-04-28,12
2024-05-05,12
2024-05-12,12
2024-05-19,11
2024-05-26,11
2024-06-02,11
2024-06-09,10
2024-06-16,11
2024-06-23,11
2024-06-30,11
2024-07-07,11
2024-07-14,12
2024-07-21,10
2024-07-28,10
2024-08-04,10
2024-08-11,10
2024-08-18,11
2024-08-25,10
2024-09-01,10
2024-09-08,9
2024-09-15,10
2024-09-22,10
2024-09-29,10
2024-10-06,10
2024-10-13,10
2024-10-20,11
2024-10-27,11
2024-11-03,11
2024-11-10,11
