Week,cruelty free skincare: (Worldwide)
2019-11-10,17
2019-11-17,17
2019-11-24,13
2019-12-01,18
2019-12-08,12
2019-12-15,17
2019-12-22,21
2019-12-29,20
2020-01-05,22
2020-01-12,18
2020-01-19,20
2020-01-26,17
2020-02-02,18
2020-02-09,20
2020-02-16,19
2020-02-23,18
2020-03-01,14
2020-03-08,17
2020-03-15,15
2020-03-22,15
2020-03-29,23
2020-04-05,16
2020-04-12,28
2020-04-19,29
2020-04-26,30
2020-05-03,25
2020-05-10,23
2020-05-17,24
2020-05-24,21
2020-05-31,21
2020-06-07,21
2020-06-14,21
2020-06-21,29
2020-06-28,21
2020-07-05,26
2020-07-12,26
2020-07-19,26
2020-07-26,27
2020-08-02,29
2020-08-09,15
2020-08-16,21
2020-08-23,21
2020-08-30,25
2020-09-06,21
2020-09-13,23
2020-09-20,22
2020-09-27,20
2020-10-04,21
2020-10-11,19
2020-10-18,16
2020-10-25,23
2020-11-01,15
2020-11-08,20
2020-11-15,25
2020-11-22,27
2020-11-29,26
2020-12-06,20
2020-12-13,20
2020-12-20,19
2020-12-27,28
2021-01-03,16
2021-01-10,22
2021-01-17,26
2021-01-24,31
2021-01-31,24
2021-02-07,26
2021-02-14,22
2021-02-21,24
2021-02-28,27
2021-03-07,24
2021-03-14,22
2021-03-21,23
2021-03-28,21
2021-04-04,29
2021-04-11,53
2021-04-18,100
2021-04-25,63
2021-05-02,38
2021-05-09,37
2021-05-16,33
2021-05-23,32
2021-05-30,27
2021-06-06,30
2021-06-13,24
2021-06-20,24
2021-06-27,22
2021-07-04,24
2021-07-11,20
2021-07-18,31
2021-07-25,26
2021-08-01,29
2021-08-08,23
2021-08-15,23
2021-08-22,27
2021-08-29,23
2021-09-05,20
2021-09-12,15
2021-09-19,18
2021-09-26,19
2021-10-03,20
2021-10-10,20
2021-10-17,25
2021-10-24,26
2021-10-31,14
2021-11-07,25
2021-11-14,22
2021-11-21,24
2021-11-28,20
2021-12-05,20
2021-12-12,28
2021-12-19,22
2021-12-26,22
2022-01-02,26
2022-01-09,22
2022-01-16,23
2022-01-23,21
2022-01-30,19
2022-02-06,23
2022-02-13,22
2022-02-20,18
2022-02-27,18
2022-03-06,15
2022-03-13,18
2022-03-20,22
2022-03-27,17
2022-04-03,21
2022-04-10,22
2022-04-17,24
2022-04-24,18
2022-05-01,18
2022-05-08,16
2022-05-15,20
2022-05-22,16
2022-05-29,15
2022-06-05,19
2022-06-12,19
2022-06-19,22
2022-06-26,17
2022-07-03,19
2022-07-10,18
2022-07-17,17
2022-07-24,20
2022-07-31,20
2022-08-07,24
2022-08-14,21
2022-08-21,20
2022-08-28,18
2022-09-04,16
2022-09-11,15
2022-09-18,12
2022-09-25,16
2022-10-02,10
2022-10-09,13
2022-10-16,18
2022-10-23,18
2022-10-30,14
2022-11-06,16
2022-11-13,16
2022-11-20,19
2022-11-27,18
2022-12-04,14
2022-12-11,16
2022-12-18,15
2022-12-25,34
2023-01-01,23
2023-01-08,22
2023-01-15,23
2023-01-22,23
2023-01-29,19
2023-02-05,19
2023-02-12,12
2023-02-19,20
2023-02-26,22
2023-03-05,21
2023-03-12,21
2023-03-19,18
2023-03-26,14
2023-04-02,24
2023-04-09,19
2023-04-16,19
2023-04-23,18
2023-04-30,17
2023-05-07,13
2023-05-14,20
2023-05-21,20
2023-05-28,22
2023-06-04,23
2023-06-11,18
2023-06-18,18
2023-06-25,16
2023-07-02,17
2023-07-09,23
2023-07-16,19
2023-07-23,24
2023-07-30,21
2023-08-06,24
2023-08-13,21
2023-08-20,23
2023-08-27,26
2023-09-03,21
2023-09-10,20
2023-09-17,27
2023-09-24,23
2023-10-01,22
2023-10-08,17
2023-10-15,19
2023-10-22,21
2023-10-29,19
2023-11-05,16
2023-11-12,21
2023-11-19,25
2023-11-26,31
2023-12-03,25
2023-12-10,20
2023-12-17,20
2023-12-24,23
2023-12-31,28
2024-01-07,26
2024-01-14,24
2024-01-21,24
2024-01-28,23
2024-02-04,18
2024-02-11,20
2024-02-18,21
2024-02-25,24
2024-03-03,22
2024-03-10,21
2024-03-17,19
2024-03-24,20
2024-03-31,15
2024-04-07,17
2024-04-14,23
2024-04-21,20
2024-04-28,14
2024-05-05,19
2024-05-12,18
2024-05-19,13
2024-05-26,15
2024-06-02,16
2024-06-09,12
2024-06-16,12
2024-06-23,16
2024-06-30,13
2024-07-07,12
2024-07-14,17
2024-07-21,14
2024-07-28,15
2024-08-04,13
2024-08-11,16
2024-08-18,11
2024-08-25,13
2024-09-01,14
2024-09-08,15
2024-09-15,14
2024-09-22,17
2024-09-29,15
2024-10-06,14
2024-10-13,11
2024-10-20,16
2024-10-27,14
2024-11-03,13
2024-11-10,14
