Week,E.L.F. cosmetics: (Worldwide)
2019-11-10,13
2019-11-17,14
2019-11-24,20
2019-12-01,12
2019-12-08,20
2019-12-15,13
2019-12-22,12
2019-12-29,19
2020-01-05,10
2020-01-12,12
2020-01-19,15
2020-01-26,16
2020-02-02,11
2020-02-09,15
2020-02-16,17
2020-02-23,13
2020-03-01,13
2020-03-08,16
2020-03-15,10
2020-03-22,11
2020-03-29,17
2020-04-05,16
2020-04-12,20
2020-04-19,23
2020-04-26,19
2020-05-03,19
2020-05-10,13
2020-05-17,21
2020-05-24,17
2020-05-31,18
2020-06-07,16
2020-06-14,18
2020-06-21,20
2020-06-28,22
2020-07-05,20
2020-07-12,23
2020-07-19,21
2020-07-26,29
2020-08-02,27
2020-08-09,16
2020-08-16,21
2020-08-23,20
2020-08-30,21
2020-09-06,21
2020-09-13,21
2020-09-20,21
2020-09-27,22
2020-10-04,22
2020-10-11,23
2020-10-18,20
2020-10-25,21
2020-11-01,21
2020-11-08,27
2020-11-15,21
2020-11-22,27
2020-11-29,27
2020-12-06,28
2020-12-13,32
2020-12-20,21
2020-12-27,38
2021-01-03,39
2021-01-10,31
2021-01-17,23
2021-01-24,31
2021-01-31,26
2021-02-07,26
2021-02-14,24
2021-02-21,26
2021-02-28,26
2021-03-07,30
2021-03-14,26
2021-03-21,25
2021-03-28,29
2021-04-04,25
2021-04-11,24
2021-04-18,32
2021-04-25,25
2021-05-02,17
2021-05-09,25
2021-05-16,20
2021-05-23,20
2021-05-30,15
2021-06-06,21
2021-06-13,21
2021-06-20,20
2021-06-27,23
2021-07-04,18
2021-07-11,18
2021-07-18,21
2021-07-25,21
2021-08-01,18
2021-08-08,17
2021-08-15,19
2021-08-22,20
2021-08-29,20
2021-09-05,20
2021-09-12,18
2021-09-19,27
2021-09-26,23
2021-10-03,21
2021-10-10,19
2021-10-17,22
2021-10-24,22
2021-10-31,28
2021-11-07,25
2021-11-14,28
2021-11-21,42
2021-11-28,35
2021-12-05,36
2021-12-12,33
2021-12-19,39
2021-12-26,37
2022-01-02,42
2022-01-09,29
2022-01-16,26
2022-01-23,21
2022-01-30,30
2022-02-06,21
2022-02-13,25
2022-02-20,28
2022-02-27,20
2022-03-06,21
2022-03-13,30
2022-03-20,33
2022-03-27,36
2022-04-03,33
2022-04-10,30
2022-04-17,27
2022-04-24,30
2022-05-01,23
2022-05-08,27
2022-05-15,24
2022-05-22,24
2022-05-29,20
2022-06-05,38
2022-06-12,28
2022-06-19,21
2022-06-26,24
2022-07-03,27
2022-07-10,31
2022-07-17,35
2022-07-24,43
2022-07-31,33
2022-08-07,32
2022-08-14,34
2022-08-21,37
2022-08-28,38
2022-09-04,29
2022-09-11,32
2022-09-18,32
2022-09-25,31
2022-10-02,31
2022-10-09,28
2022-10-16,33
2022-10-23,33
2022-10-30,27
2022-11-06,39
2022-11-13,39
2022-11-20,48
2022-11-27,42
2022-12-04,47
2022-12-11,54
2022-12-18,54
2022-12-25,59
2023-01-01,57
2023-01-08,47
2023-01-15,43
2023-01-22,49
2023-01-29,48
2023-02-05,47
2023-02-12,47
2023-02-19,49
2023-02-26,48
2023-03-05,43
2023-03-12,51
2023-03-19,43
2023-03-26,52
2023-04-02,57
2023-04-09,61
2023-04-16,48
2023-04-23,49
2023-04-30,49
2023-05-07,44
2023-05-14,37
2023-05-21,38
2023-05-28,43
2023-06-04,36
2023-06-11,39
2023-06-18,40
2023-06-25,46
2023-07-02,43
2023-07-09,45
2023-07-16,46
2023-07-23,42
2023-07-30,47
2023-08-06,40
2023-08-13,40
2023-08-20,39
2023-08-27,41
2023-09-03,38
2023-09-10,47
2023-09-17,37
2023-09-24,43
2023-10-01,42
2023-10-08,41
2023-10-15,45
2023-10-22,51
2023-10-29,59
2023-11-05,69
2023-11-12,63
2023-11-19,74
2023-11-26,84
2023-12-03,88
2023-12-10,80
2023-12-17,72
2023-12-24,100
2023-12-31,70
2024-01-07,63
2024-01-14,59
2024-01-21,56
2024-01-28,54
2024-02-04,52
2024-02-11,65
2024-02-18,55
2024-02-25,47
2024-03-03,47
2024-03-10,44
2024-03-17,49
2024-03-24,50
2024-03-31,49
2024-04-07,51
2024-04-14,51
2024-04-21,41
2024-04-28,42
2024-05-05,41
2024-05-12,35
2024-05-19,43
2024-05-26,37
2024-06-02,32
2024-06-09,43
2024-06-16,40
2024-06-23,36
2024-06-30,36
2024-07-07,39
2024-07-14,41
2024-07-21,35
2024-07-28,49
2024-08-04,51
2024-08-11,42
2024-08-18,47
2024-08-25,46
2024-09-01,57
2024-09-08,46
2024-09-15,52
2024-09-22,49
2024-09-29,47
2024-10-06,54
2024-10-13,50
2024-10-20,57
2024-10-27,56
2024-11-03,48
2024-11-10,61
