Week,Lush: (Worldwide)
2019-11-10,50
2019-11-17,53
2019-11-24,68
2019-12-01,66
2019-12-08,68
2019-12-15,78
2019-12-22,100
2019-12-29,59
2020-01-05,47
2020-01-12,47
2020-01-19,45
2020-01-26,45
2020-02-02,41
2020-02-09,43
2020-02-16,41
2020-02-23,37
2020-03-01,37
2020-03-08,36
2020-03-15,33
2020-03-22,34
2020-03-29,37
2020-04-05,40
2020-04-12,43
2020-04-19,43
2020-04-26,44
2020-05-03,43
2020-05-10,40
2020-05-17,40
2020-05-24,37
2020-05-31,37
2020-06-07,38
2020-06-14,34
2020-06-21,35
2020-06-28,36
2020-07-05,34
2020-07-12,34
2020-07-19,33
2020-07-26,34
2020-08-02,35
2020-08-09,34
2020-08-16,35
2020-08-23,34
2020-08-30,34
2020-09-06,35
2020-09-13,33
2020-09-20,36
2020-09-27,35
2020-10-04,37
2020-10-11,35
2020-10-18,39
2020-10-25,40
2020-11-01,44
2020-11-08,48
2020-11-15,51
2020-11-22,60
2020-11-29,62
2020-12-06,63
2020-12-13,67
2020-12-20,76
2020-12-27,74
2021-01-03,50
2021-01-10,41
2021-01-17,41
2021-01-24,38
2021-01-31,41
2021-02-07,39
2021-02-14,39
2021-02-21,37
2021-02-28,37
2021-03-07,34
2021-03-14,33
2021-03-21,32
2021-03-28,33
2021-04-04,31
2021-04-11,30
2021-04-18,31
2021-04-25,30
2021-05-02,34
2021-05-09,29
2021-05-16,28
2021-05-23,28
2021-05-30,27
2021-06-06,29
2021-06-13,30
2021-06-20,30
2021-06-27,28
2021-07-04,27
2021-07-11,31
2021-07-18,29
2021-07-25,26
2021-08-01,27
2021-08-08,28
2021-08-15,27
2021-08-22,28
2021-08-29,28
2021-09-05,30
2021-09-12,30
2021-09-19,33
2021-09-26,30
2021-10-03,30
2021-10-10,29
2021-10-17,30
2021-10-24,32
2021-10-31,32
2021-11-07,39
2021-11-14,39
2021-11-21,57
2021-11-28,52
2021-12-05,53
2021-12-12,59
2021-12-19,65
2021-12-26,71
2022-01-02,40
2022-01-09,33
2022-01-16,29
2022-01-23,28
2022-01-30,28
2022-02-06,29
2022-02-13,28
2022-02-20,23
2022-02-27,22
2022-03-06,23
2022-03-13,28
2022-03-20,28
2022-03-27,26
2022-04-03,26
2022-04-10,26
2022-04-17,24
2022-04-24,25
2022-05-01,25
2022-05-08,23
2022-05-15,23
2022-05-22,22
2022-05-29,22
2022-06-05,22
2022-06-12,22
2022-06-19,22
2022-06-26,22
2022-07-03,26
2022-07-10,28
2022-07-17,26
2022-07-24,25
2022-07-31,24
2022-08-07,25
2022-08-14,24
2022-08-21,25
2022-08-28,23
2022-09-04,23
2022-09-11,24
2022-09-18,29
2022-09-25,30
2022-10-02,27
2022-10-09,26
2022-10-16,26
2022-10-23,26
2022-10-30,26
2022-11-06,28
2022-11-13,31
2022-11-20,36
2022-11-27,32
2022-12-04,36
2022-12-11,38
2022-12-18,43
2022-12-25,59
2023-01-01,30
2023-01-08,26
2023-01-15,23
2023-01-22,22
2023-01-29,22
2023-02-05,20
2023-02-12,19
2023-02-19,20
2023-02-26,20
2023-03-05,20
2023-03-12,21
2023-03-19,21
2023-03-26,30
2023-04-02,28
2023-04-09,26
2023-04-16,27
2023-04-23,24
2023-04-30,24
2023-05-07,24
2023-05-14,23
2023-05-21,25
2023-05-28,23
2023-06-04,22
2023-06-11,22
2023-06-18,22
2023-06-25,25
2023-07-02,26
2023-07-09,25
2023-07-16,24
2023-07-23,26
2023-07-30,28
2023-08-06,30
2023-08-13,29
2023-08-20,28
2023-08-27,29
2023-09-03,27
2023-09-10,26
2023-09-17,29
2023-09-24,30
2023-10-01,31
2023-10-08,36
2023-10-15,33
2023-10-22,31
2023-10-29,32
2023-11-05,39
2023-11-12,41
2023-11-19,48
2023-11-26,47
2023-12-03,52
2023-12-10,48
2023-12-17,51
2023-12-24,66
2023-12-31,37
2024-01-07,34
2024-01-14,29
2024-01-21,27
2024-01-28,31
2024-02-04,29
2024-02-11,33
2024-02-18,26
2024-02-25,27
2024-03-03,26
2024-03-10,26
2024-03-17,29
2024-03-24,30
2024-03-31,28
2024-04-07,25
2024-04-14,25
2024-04-21,27
2024-04-28,27
2024-05-05,27
2024-05-12,25
2024-05-19,26
2024-05-26,30
2024-06-02,29
2024-06-09,29
2024-06-16,29
2024-06-23,27
2024-06-30,28
2024-07-07,27
2024-07-14,30
2024-07-21,32
2024-07-28,45
2024-08-04,41
2024-08-11,40
2024-08-18,36
2024-08-25,35
2024-09-01,37
2024-09-08,35
2024-09-15,38
2024-09-22,38
2024-09-29,37
2024-10-06,41
2024-10-13,40
2024-10-20,39
2024-10-27,39
2024-11-03,43
2024-11-10,45
