Week,vegan: (Worldwide)
2019-11-10,82
2019-11-17,85
2019-11-24,86
2019-12-01,73
2019-12-08,76
2019-12-15,82
2019-12-22,85
2019-12-29,100
2020-01-05,92
2020-01-12,87
2020-01-19,86
2020-01-26,82
2020-02-02,76
2020-02-09,76
2020-02-16,75
2020-02-23,74
2020-03-01,72
2020-03-08,63
2020-03-15,52
2020-03-22,55
2020-03-29,63
2020-04-05,68
2020-04-12,67
2020-04-19,65
2020-04-26,68
2020-05-03,63
2020-05-10,67
2020-05-17,68
2020-05-24,66
2020-05-31,64
2020-06-07,65
2020-06-14,63
2020-06-21,65
2020-06-28,64
2020-07-05,63
2020-07-12,68
2020-07-19,66
2020-07-26,68
2020-08-02,67
2020-08-09,66
2020-08-16,65
2020-08-23,67
2020-08-30,63
2020-09-06,64
2020-09-13,63
2020-09-20,59
2020-09-27,59
2020-10-04,59
2020-10-11,62
2020-10-18,60
2020-10-25,57
2020-11-01,54
2020-11-08,62
2020-11-15,60
2020-11-22,62
2020-11-29,59
2020-12-06,56
2020-12-13,62
2020-12-20,69
2020-12-27,66
2021-01-03,64
2021-01-10,65
2021-01-17,64
2021-01-24,62
2021-01-31,63
2021-02-07,65
2021-02-14,62
2021-02-21,62
2021-02-28,60
2021-03-07,58
2021-03-14,57
2021-03-21,59
2021-03-28,66
2021-04-04,59
2021-04-11,59
2021-04-18,60
2021-04-25,57
2021-05-02,62
2021-05-09,58
2021-05-16,55
2021-05-23,56
2021-05-30,56
2021-06-06,54
2021-06-13,61
2021-06-20,55
2021-06-27,58
2021-07-04,57
2021-07-11,58
2021-07-18,59
2021-07-25,56
2021-08-01,58
2021-08-08,58
2021-08-15,57
2021-08-22,58
2021-08-29,56
2021-09-05,54
2021-09-12,53
2021-09-19,54
2021-09-26,56
2021-10-03,56
2021-10-10,55
2021-10-17,57
2021-10-24,56
2021-10-31,58
2021-11-07,57
2021-11-14,60
2021-11-21,61
2021-11-28,56
2021-12-05,60
2021-12-12,60
2021-12-19,67
2021-12-26,61
2022-01-02,66
2022-01-09,63
2022-01-16,56
2022-01-23,57
2022-01-30,59
2022-02-06,59
2022-02-13,58
2022-02-20,52
2022-02-27,53
2022-03-06,55
2022-03-13,61
2022-03-20,63
2022-03-27,58
2022-04-03,61
2022-04-10,65
2022-04-17,57
2022-04-24,56
2022-05-01,54
2022-05-08,56
2022-05-15,48
2022-05-22,51
2022-05-29,52
2022-06-05,50
2022-06-12,51
2022-06-19,52
2022-06-26,51
2022-07-03,51
2022-07-10,52
2022-07-17,52
2022-07-24,52
2022-07-31,51
2022-08-07,52
2022-08-14,52
2022-08-21,51
2022-08-28,51
2022-09-04,50
2022-09-11,48
2022-09-18,51
2022-09-25,49
2022-10-02,48
2022-10-09,51
2022-10-16,47
2022-10-23,49
2022-10-30,51
2022-11-06,49
2022-11-13,52
2022-11-20,54
2022-11-27,49
2022-12-04,52
2022-12-11,53
2022-12-18,61
2022-12-25,53
2023-01-01,52
2023-01-08,50
2023-01-15,54
2023-01-22,49
2023-01-29,49
2023-02-05,49
2023-02-12,50
2023-02-19,50
2023-02-26,50
2023-03-05,49
2023-03-12,47
2023-03-19,47
2023-03-26,47
2023-04-02,51
2023-04-09,47
2023-04-16,44
2023-04-23,43
2023-04-30,45
2023-05-07,45
2023-05-14,41
2023-05-21,44
2023-05-28,43
2023-06-04,42
2023-06-11,43
2023-06-18,45
2023-06-25,46
2023-07-02,46
2023-07-09,46
2023-07-16,45
2023-07-23,47
2023-07-30,47
2023-08-06,47
2023-08-13,45
2023-08-20,44
2023-08-27,44
2023-09-03,43
2023-09-10,42
2023-09-17,43
2023-09-24,42
2023-10-01,43
2023-10-08,43
2023-10-15,43
2023-10-22,43
2023-10-29,44
2023-11-05,44
2023-11-12,46
2023-11-19,48
2023-11-26,45
2023-12-03,48
2023-12-10,48
2023-12-17,57
2023-12-24,49
2023-12-31,57
2024-01-07,53
2024-01-14,49
2024-01-21,50
2024-01-28,47
2024-02-04,51
2024-02-11,48
2024-02-18,47
2024-02-25,46
2024-03-03,44
2024-03-10,46
2024-03-17,47
2024-03-24,52
2024-03-31,44
2024-04-07,44
2024-04-14,45
2024-04-21,44
2024-04-28,45
2024-05-05,42
2024-05-12,43
2024-05-19,43
2024-05-26,41
2024-06-02,41
2024-06-09,43
2024-06-16,41
2024-06-23,40
2024-06-30,41
2024-07-07,41
2024-07-14,43
2024-07-21,42
2024-07-28,41
2024-08-04,41
2024-08-11,42
2024-08-18,42
2024-08-25,40
2024-09-01,40
2024-09-08,39
2024-09-15,40
2024-09-22,41
2024-09-29,40
2024-10-06,43
2024-10-13,41
2024-10-20,40
2024-10-27,42
2024-11-03,39
2024-11-10,41
